Athlete,Gender,Date,Test,Name Label,Power,Score,Split,Time or Split
Stefanie Preller,Female,29/07/2024,4mmol,Female_4mmol,205,5,01:59.5,01:59.5
Olivia Nattey,Female,29/07/2024,4mmol,Female_4mmol,255,60,01:51.1,01:51.1
Sophia Wightman,Female,31/07/2024,2mmol,Female_2mmol,191,17,02:02.4,02:02.4
Sophia Wightman,Female,31/07/2024,4mmol,Female_4mmol,220,17,01:56.7,01:56.7
Tiffany Botha,Female,2/09/2024,2mmol,Female_2mmol,181,7,02:04.6,02:04.6
Hamish Danks,Male,2/09/2024,2mmol,Male_2mmol,273,20,01:48.6,01:48.6
Sophia Wightman,Female,2/09/2024,2mmol,Female_2mmol,190,16,02:02.6,02:02.6
Stefanie Preller,Female,2/09/2024,2mmol,Female_2mmol,178,4,02:05.3,02:05.3
Olivia Nattey,Female,2/09/2024,2mmol,Female_2mmol,205,34,01:59.5,01:59.5
Tiffany Botha,Female,2/09/2024,4mmol,Female_4mmol,221,18,01:56.6,01:56.6
Hamish Danks,Male,2/09/2024,4mmol,Male_4mmol,330,36,01:42.0,01:42.0
Sophia Wightman,Female,2/09/2024,4mmol,Female_4mmol,223,20,01:56.2,01:56.2
Stefanie Preller,Female,2/09/2024,4mmol,Female_4mmol,205,5,01:59.5,01:59.5
Olivia Nattey,Female,2/09/2024,4mmol,Female_4mmol,245,44,01:52.6,01:52.6
Tiffany Botha,Female,10/10/2024,2mmol,Female_2mmol,213,47,01:58.0,01:58.0
Sophia Wightman,Female,10/10/2024,2mmol,Female_2mmol,204,32,01:59.7,01:59.7
Stefanie Preller,Female,10/10/2024,2mmol,Female_2mmol,193,19,02:01.9,02:01.9
Olivia Nattey,Female,10/10/2024,2mmol,Female_2mmol,209,41,01:58.7,01:58.7
Tiffany Botha,Female,10/10/2024,4mmol,Female_4mmol,244,43,01:52.8,01:52.8
Sophia Wightman,Female,10/10/2024,4mmol,Female_4mmol,237,34,01:53.9,01:53.9
Stefanie Preller,Female,10/10/2024,4mmol,Female_4mmol,225,21,01:55.9,01:55.9
Olivia Nattey,Female,10/10/2024,4mmol,Female_4mmol,245,44,01:52.6,01:52.6
Hamish Danks,Male,11/10/2024,2mmol,Male_2mmol,263,11,01:50.0,01:50.0
Hamish Danks,Male,11/10/2024,4mmol,Male_4mmol,309,16,01:44.2,01:44.2
Sarah Fahd,Female,24/10/2024,2mmol,Female_2mmol,185,11,02:03.7,02:03.7
Sarah Fahd,Female,24/10/2024,4mmol,Female_4mmol,219,16,01:56.9,01:56.9
Grace Sypher,Female,25/10/2024,2mmol,Female_2mmol,229,85,01:55.2,01:55.2
Grace Sypher,Female,25/10/2024,4mmol,Female_4mmol,254,57,01:51.3,01:51.3
Alec Hoskin,Male,4/11/2024,5000,Male_5000,377.6,46,01:37.5,16:15.0
Miles Harrold,Male,4/11/2024,5000,Male_5000,375.2,41,01:37.7,16:17.1
Sophia Wightman,Female,4/11/2024,5000,Female_5000,239.4,20,01:53.5,18:55.0
Laura Sypher,Female,4/11/2024,5000,Female_5000,223.8,12,01:56.1,19:20.8
Remy McKay,Female,4/11/2024,5000,Female_5000,212.2,5,01:58.2,19:41.6
Sarah Fahd,Female,5/11/2024,5000,Female_5000,242.9,22,01:53.0,18:49.5
Jack Power,Male,5/11/2024,5000,Male_5000,369.2,30,01:38.2,16:22.4
Jack Power,Male,5/11/2024,5000,Male_5000,369.2,30,01:38.2,16:22.4
Oscar Beregi,Male,5/11/2024,5000,Male_5000,386.1,59,01:36.8,16:07.8
Oscar Beregi,Male,5/11/2024,5000,Male_5000,386.1,59,01:36.8,16:07.8
Joshua Wilson,Male,5/11/2024,5000,Male_5000,331,18,01:41.9,16:58.8
Joshua Wilson,Male,5/11/2024,5000,Male_5000,331,18,01:41.9,16:58.8
Sarah Fahd,Female,10/11/2024,30minR20,Female_30minR20,216,21,01:57.4,01:57.4
Will Rogers,Male,22/11/2024,5000,Male_5000,337.1,19,01:41.3,16:52.6
Isabella Scammell,Female,2/12/2024,5000,Female_5000,265.8,68,01:49.6,18:16.0
Tiffany Botha,Female,2/12/2024,5000,Female_5000,238.7,20,01:53.6,18:56.0
Hamish Danks,Male,2/12/2024,5000,Male_5000,368.2,28,01:38.3,16:23.2
Jack Power,Male,2/12/2024,5000,Male_5000,377.3,45,01:37.5,16:15.3
Oscar Beregi,Male,2/12/2024,5000,Male_5000,372.4,36,01:38.0,16:19.5
Stefanie Preller,Female,2/12/2024,5000,Female_5000,256.5,44,01:50.9,18:29.2
Joshua Wilson,Male,2/12/2024,5000,Male_5000,319.6,16,01:43.1,17:10.7
Remy McKay,Female,2/12/2024,5000,Female_5000,211.8,5,01:58.2,19:42.3
Olivia Nattey,Female,2/12/2024,5000,Female_5000,244.2,23,01:52.8,18:47.5
Liesel Page,Female,4/12/2024,2mmol,Female_2mmol,236,101,01:54.0,01:54.0
Liesel Page,Female,4/12/2024,4mmol,Female_4mmol,264,74,01:49.9,01:49.9
Alec Hoskin,Male,13/12/2024,2000,Male_2000,460.6,35,01:31.2,06:05.0
Tiffany Botha,Female,13/12/2024,2000,Female_2000,283.9,22,01:47.2,07:08.9
Hamish Danks,Male,13/12/2024,2000,Male_2000,489.8,77,01:29.4,05:57.6
Oscar Beregi,Male,13/12/2024,2000,Male_2000,453.9,29,01:31.7,06:06.8
Sophia Wightman,Female,13/12/2024,2000,Female_2000,291,25,01:46.4,07:05.4
Stefanie Preller,Female,13/12/2024,2000,Female_2000,297.2,39,01:45.6,07:02.4
Joshua Wilson,Male,13/12/2024,2000,Male_2000,387.7,5,01:36.7,06:26.6
Remy McKay,Female,13/12/2024,2000,Female_2000,261.7,11,01:50.2,07:20.7
Olivia Nattey,Female,13/12/2024,2000,Female_2000,305.6,59,01:44.6,06:58.5
Miles Harrold,Male,19/12/2024,5000,Male_5000,380.4,51,01:37.3,16:12.6
Hamish Danks,Male,28/01/2025,5000,Male_5000,363.9,25,01:38.7,16:27.1
Stefanie Preller,Female,28/01/2025,5000,Female_5000,248.2,25,01:52.1,18:41.4
Will Rogers,Male,28/01/2025,5000,Male_5000,358,24,01:39.3,16:32.5
Olivia Nattey,Female,28/01/2025,5000,Female_5000,240.5,21,01:53.3,18:53.3
Jack Power,Male,30/01/2025,5000,Male_5000,385.2,57,01:36.9,16:08.6
Oscar Beregi,Male,30/01/2025,5000,Male_5000,396,72,01:36.0,15:59.7
Joshua Wilson,Male,30/01/2025,5000,Male_5000,334.2,19,01:41.6,16:55.5
Sarah Fahd,Female,1/02/2025,5000,Female_5000,254.5,39,01:51.2,18:32.1
Isabella Scammell,Female,3/02/2025,5000,Female_5000,263.8,63,01:49.9,18:18.8
Laura Sypher,Female,3/02/2025,5000,Female_5000,205,2,01:59.5,19:55.1
Remy McKay,Female,3/02/2025,5000,Female_5000,212.5,6,01:58.1,19:40.9
Liesel Page,Female,13/02/2025,2mmol,Female_2mmol,182,8,02:04.4,02:04.4
Liesel Page,Female,13/02/2025,4mmol,Female_4mmol,209,8,01:58.8,01:58.8
Alec Hoskin,Male,17/02/2025,2mmol,Male_2mmol,288,35,01:46.7,01:46.7
Bradley Graham,Male,17/02/2025,2mmol,Male_2mmol,278,24,01:48.0,01:48.0
Miles Harrold,Male,17/02/2025,2mmol,Male_2mmol,254,4,01:51.3,01:51.3
Alec Hoskin,Male,17/02/2025,4mmol,Male_4mmol,335,41,01:41.5,01:41.5
Bradley Graham,Male,17/02/2025,4mmol,Male_4mmol,329,35,01:42.1,01:42.1
Miles Harrold,Male,17/02/2025,4mmol,Male_4mmol,319,25,01:43.1,01:43.1
Remy McKay,Female,20/02/2025,2mmol,Female_2mmol,159,#N/A,02:10.1,02:10.1
Remy McKay,Female,20/02/2025,4mmol,Female_4mmol,188,#N/A,02:03.0,02:03.0
Amrbose Hennesy,Male,24/02/2025,2mmol,Male_2mmol,248,#N/A,01:52.2,01:52.2
Matias Moloney,Male,24/02/2025,2mmol,Male_2mmol,256,6,01:51.0,01:51.0
Tomas Moloney,Male,24/02/2025,2mmol,Male_2mmol,254,4,01:51.3,01:51.3
Amrbose Hennesy,Male,24/02/2025,4mmol,Male_4mmol,288,#N/A,01:46.7,01:46.7
Matias Moloney,Male,24/02/2025,4mmol,Male_4mmol,304,12,01:44.8,01:44.8
Tomas Moloney,Male,24/02/2025,4mmol,Male_4mmol,300,9,01:45.3,01:45.3
Isabella Scammell,Female,28/02/2025,2mmol,Female_2mmol,208,39,01:58.9,01:58.9
Isabella Scammell,Female,28/02/2025,4mmol,Female_4mmol,240,38,01:53.4,01:53.4
Grace Sypher,Female,10/03/2025,2000,Female_2000,265.8,13,01:49.6,07:18.4
Isabella Scammell,Female,10/03/2025,2000,Female_2000,337.9,92,01:41.2,06:44.7
Liesel Page,Female,10/03/2025,2000,Female_2000,252.5,7,01:51.5,07:26.0
Miles Harrold,Male,10/03/2025,2000,Male_2000,438.3,22,01:32.8,06:11.1
Amrbose Hennesy,Male,10/03/2025,2000,Male_2000,426.1,18,01:33.7,06:14.6
Matias Moloney,Male,10/03/2025,2000,Male_2000,415.7,14,01:34.4,06:17.7
Matias Moloney,Male,10/03/2025,2000,Male_2000,428.9,19,01:33.5,06:13.8
Laura Sypher,Female,10/03/2025,2000,Female_2000,258.5,9,01:50.6,07:22.5
Remy McKay,Female,10/03/2025,2000,Female_2000,263.7,12,01:49.9,07:19.6
Alec Hoskin,Male,13/03/2025,2000,Male_2000,467.1,40,01:30.8,06:03.3
Jack Power,Male,14/03/2025,2000,Male_2000,473.4,45,01:30.4,06:01.7
Oscar Beregi,Male,14/03/2025,2000,Male_2000,483.3,61,01:29.8,05:59.2
Joshua Wilson,Male,14/03/2025,2000,Male_2000,396.8,8,01:35.9,06:23.6
Sarah Fahd,Female,15/03/2025,2000,Female_2000,293,28,01:46.1,07:04.4
Tiffany Botha,Female,15/03/2025,2000,Female_2000,292,26,01:46.2,07:04.9
Hamish Danks,Male,15/03/2025,2000,Male_2000,482.9,60,01:29.8,05:59.3
Sophia Wightman,Female,15/03/2025,2000,Female_2000,294.5,32,01:45.9,07:03.7
Stefanie Preller,Female,15/03/2025,2000,Female_2000,311.8,73,01:43.9,06:55.7
Will Rogers,Male,15/03/2025,2000,Male_2000,446.9,25,01:32.2,06:08.7
Matias Moloney,Male,4/04/2025,2000,Male_2000,415.7,14,01:34.4,06:17.7
Matias Moloney,Male,4/04/2025,2000,Male_2000,428.9,19,01:33.5,06:13.8
Samuel Basha,Male,20/05/2025,2mmol,Male_2mmol,154,#N/A,02:11.4,02:11.4
Samuel Basha,Male,20/05/2025,4mmol,Male_4mmol,212,#N/A,01:58.2,01:58.2
Hamish Danks,Male,23/05/2025,2mmol,Male_2mmol,288,35,01:46.7,01:46.7
Will Rogers,Male,23/05/2025,2mmol,Male_2mmol,283,29,01:47.3,01:47.3
Laura Sypher,Female,23/05/2025,2mmol,Female_2mmol,179,5,02:05.0,02:05.0
Remy McKay,Female,23/05/2025,2mmol,Female_2mmol,178,4,02:05.3,02:05.3
Olivia Nattey,Female,23/05/2025,2mmol,Female_2mmol,232,93,01:54.7,01:54.7
Hamish Danks,Male,23/05/2025,4mmol,Male_4mmol,335,41,01:41.5,01:41.5
Will Rogers,Male,23/05/2025,4mmol,Male_4mmol,336,42,01:41.4,01:41.4
Laura Sypher,Female,23/05/2025,4mmol,Female_4mmol,205,5,01:59.5,01:59.5
Remy McKay,Female,23/05/2025,4mmol,Female_4mmol,201,1,02:00.3,02:00.3
Olivia Nattey,Female,23/05/2025,4mmol,Female_4mmol,257,62,01:50.8,01:50.8
Tiffany Botha,Female,13/06/2025,2000,Female_2000,285.7,22,01:47.0,07:08.0
Stefanie Preller,Female,13/06/2025,2000,Female_2000,288.9,24,01:46.6,07:06.4
Sophia Wightman,Female,22/06/2025,2mmol,Female_2mmol,190,16,02:02.6,02:02.6
Sophia Wightman,Female,22/06/2025,4mmol,Female_4mmol,216,14,01:57.5,01:57.5
Samuel Basha,Male,30/06/2025,2mmol,Male_2mmol,224,#N/A,01:56.0,01:56.0
Samuel Basha,Male,30/06/2025,4mmol,Male_4mmol,265,#N/A,01:49.7,01:49.7
Stefanie Preller,Female,4/08/2025,2mmol,Female_2mmol,177,3,02:05.5,02:05.5
Stefanie Preller,Female,4/08/2025,4mmol,Female_4mmol,203,3,01:59.9,01:59.9
Tiffany Botha,Female,11/09/2025,2mmol,Female_2mmol,212,46,01:58.2,01:58.2
Stefanie Preller,Female,11/09/2025,2mmol,Female_2mmol,191,17,02:02.4,02:02.4
Tiffany Botha,Female,11/09/2025,4mmol,Female_4mmol,244,43,01:52.8,01:52.8
Stefanie Preller,Female,11/09/2025,4mmol,Female_4mmol,220,17,01:56.7,01:56.7
Grace Sypher,Female,29/09/2025,2mmol,Female_2mmol,200,26,02:00.5,02:00.5
Miles Harrold,Male,29/09/2025,2mmol,Male_2mmol,291,39,01:46.3,01:46.3
Tomas Moloney,Male,29/09/2025,2mmol,Male_2mmol,220,#N/A,01:56.7,01:56.7
Hugh Harrold,Male,29/09/2025,2mmol,Male_2mmol,232,#N/A,01:54.7,01:54.7
Remy McKay,Female,29/09/2025,2mmol,Female_2mmol,130,#N/A,02:19.1,02:19.1
Grace Sypher,Female,29/09/2025,4mmol,Female_4mmol,235,32,01:54.2,01:54.2
Miles Harrold,Male,29/09/2025,4mmol,Male_4mmol,334,40,01:41.6,01:41.6
Tomas Moloney,Male,29/09/2025,4mmol,Male_4mmol,271,#N/A,01:48.9,01:48.9
Hugh Harrold,Male,29/09/2025,4mmol,Male_4mmol,287,#N/A,01:46.8,01:46.8
Remy McKay,Female,29/09/2025,4mmol,Female_4mmol,172,#N/A,02:06.7,02:06.7
Alec Hoskin,Male,27/10/2025,5000,Male_5000,342,20,01:40.8,16:47.7
Grace Sypher,Female,27/10/2025,5000,Female_5000,244.9,23,01:52.6,18:46.4
Miles Harrold,Male,27/10/2025,5000,Male_5000,391.3,65,01:36.3,16:03.5
Matias Moloney,Male,27/10/2025,5000,Male_5000,337.8,20,01:41.2,16:51.9
Hugh Harrold,Male,27/10/2025,5000,Male_5000,363.9,25,01:38.7,16:27.1
Sarah Fahd,Female,31/10/2025,5000,Female_5000,257.1,46,01:50.8,18:28.3
Oscar Beregi,Male,31/10/2025,5000,Male_5000,387.5,60,01:36.7,16:06.6
Tomas Moloney,Male,31/10/2025,5000,Male_5000,315.7,15,01:43.5,17:15.0
Tiffany Botha,Female,3/11/2025,5000,Female_5000,242.5,22,01:53.0,18:50.1
Hamish Danks,Male,3/11/2025,5000,Male_5000,383.8,56,01:37.0,16:09.7
Samuel Basha,Male,3/11/2025,5000,Male_5000,321,16,01:42.9,17:09.3
Stefanie Preller,Female,3/11/2025,5000,Female_5000,254.5,39,01:51.2,18:32.1
Will Rogers,Male,3/11/2025,5000,Male_5000,383.7,55,01:37.0,16:09.8
Olivia Nattey,Female,3/11/2025,5000,Female_5000,243.1,22,01:52.9,18:49.1
Tara Rigney,Female,3/11/2025,5000,Female_5000,261,55,01:50.3,18:22.8
Patrick Holt,Male,3/11/2025,5000,Male_5000,418.3,89,01:34.2,15:42.3
Hugh Harrold,Male,8/12/2025,2000,Male_2000,433,20,01:33.2,06:12.6
Miles Harrold,Male,8/12/2025,2000,Male_2000,462,36,01:31.2,06:04.6
Patrick Holt,Male,8/12/2025,2000,Male_2000,517,92,01:27.8,05:51.2
Sarah Fahd,Female,8/12/2025,2000,Female_2000,307,62,01:44.5,06:57.9
Olivia Nattey,Female,3/12/2025,2000,Female_2000,307,62,01:44.5,06:57.9
Oscar Beregi,Male,3/12/2025,2000,Male_2000,481,54,01:29.9,05:59.8
Stefanie Preller,Female,3/12/2025,2000,Female_2000,316,78,01:43.5,06:53.9
Tiffany Botha,Female,3/12/2025,2000,Female_2000,289,24,01:46.6,07:06.4
Grace Sypher,Female,1/12/2025,2000,Female_2000,290,25,01:46.5,07:05.9
Matias Moloney,Male,1/12/2025,2000,Male_2000,433,20,01:33.2,06:12.6
Tomas Moloney,Male,1/12/2025,2000,Male_2000,417,15,01:34.3,06:17.3
Alec Hoskin,Male,2/02/2026,5000,Male_5000,385,57,01:36.9,16:08.7
Caitlin McManus-Barrett,Female,2/02/2026,5000,Female_5000,270,77,01:49.0,18:10.4
Grace Sypher,Female,2/02/2026,5000,Female_5000,247,24,01:52.3,18:43.2
Hamish Danks,Male,2/02/2026,5000,Male_5000,387,60,01:36.7,16:07.1
Hugh Harrold,Male,2/02/2026,5000,Male_5000,357,23,01:39.3,16:33.4
Jack Power,Male,2/02/2026,5000,Male_5000,384,56,01:37.0,16:09.6
Joshua Wilson,Male,2/02/2026,5000,Male_5000,341,20,01:40.9,16:48.7
Liesel Page,Female,2/02/2026,5000,Female_5000,216,8,01:57.5,19:34.5
Matias Moloney,Male,2/02/2026,5000,Male_5000,353,23,01:39.7,16:37.2
Miles Harrold,Male,2/02/2026,5000,Male_5000,389,62,01:36.5,16:05.4
Olivia Nattey,Female,2/02/2026,5000,Female_5000,245,23,01:52.6,18:46.2
Oscar Beregi,Male,2/02/2026,5000,Male_5000,400,76,01:35.6,15:56.5
Patrick Holt,Male,2/02/2026,5000,Male_5000,407,81,01:35.1,15:51.0
Patrick Holt,Male,2/02/2026,5000,Male_5000,407,81,01:35.1,15:51.0
Sarah Fahd,Female,2/02/2026,5000,Female_5000,264,63,01:49.9,18:18.6
Sophia Wightman,Female,2/02/2026,5000,Female_5000,239,20,01:53.6,18:55.6
Stefanie Preller,Female,2/02/2026,5000,Female_5000,253,35,01:51.4,18:34.2
Tara Rigney,Female,7/02/2026,5000,Female_5000,249,26,01:52.0,18:40.2
Tiffany Botha,Female,2/02/2026,5000,Female_5000,248,25,01:52.2,18:41.7
Will Rogers,Male,28/01/2025,5000,Male_5000,358,24,01:39.2,16:32.5
Patricia Boland,Female,4/04/2025,2000,Female_2000,295,33,01:45.9,07:03.5
Caitlin McManus-Barrett,Female,14/03/2025,2000,Female_2000,303,53,01:44.9,06:59.7
Caitlin McManus-Barrett,Female,25/02/2024,2000,Female_2000,296,36,01:45.7,07:03.0
Caitlin McManus-Barrett,Female,11/12/2023,2000,Female_2000,294,31,01:46.0,07:03.9
Caitlin McManus-Barrett,Female,11/03/2023,2000,Female_2000,301,48,01:45.2,07:00.6
Caitlin McManus-Barrett,Female,12/12/2022,2000,Female_2000,284,22,01:47.2,07:08.9
Caitlin McManus-Barrett,Female,21/03/2022,2000,Female_2000,291,25,01:46.3,07:05.4
Caitlin McManus-Barrett,Female,15/03/2021,2000,Female_2000,277,18,01:48.1,07:12.4
Caitlin McManus-Barrett,Female,19/01/2021,2000,Female_2000,263,12,01:50.0,07:20.0
Caitlin McManus-Barrett,Female,2/02/2026,5000,Female_5000,270,77,01:49.0,18:10.4
Caitlin McManus-Barrett,Female,3/02/2025,5000,Female_5000,254,38,01:51.3,18:32.8
Caitlin McManus-Barrett,Female,8/09/2021,30minR20,Female_30minR20,207,17,01:59.1,01:59.1
Caitlin McManus-Barrett,Female,4/10/2021,30minR20,Female_30minR20,203,15,01:59.9,01:59.9
Caitlin McManus-Barrett,Female,22/01/2024,30minR20,Female_30minR20,213,19,01:58.0,01:58.0
Caitlin McManus-Barrett,Female,4/09/2023,30minR20,Female_30minR20,210,18,01:58.6,01:58.6
Mackenzie Thompson,Male,3/12/2025,2000,Male_2000,488,76,01:29.5,05:58.0
Mackenzie Thompson,Male,3/12/2025,2000,Male_2000,488,76,01:29.5,05:58.0
Mackenzie Thompson,Male,13/06/2025,2000,Male_2000,469,42,01:30.7,06:02.8
Mackenzie Thompson,Male,14/03/2025,2000,Male_2000,489,76,01:29.5,05:57.8
Mackenzie Thompson,Male,13/12/2024,2000,Male_2000,454,30,01:31.7,06:06.8
Mackenzie Thompson,Male,12/12/2022,2000,Male_2000,439,22,01:32.7,06:10.9
Mackenzie Thompson,Male,6/11/2023,5000,Male_5000,361,24,01:39.0,16:29.7
Mackenzie Thompson,Male,23/01/2023,5000,Male_5000,354,23,01:39.6,16:36.2
Mackenzie Thompson,Male,22/01/2024,5000,Male_5000,344,21,01:40.6,16:45.8
Mackenzie Thompson,Male,7/11/2022,5000,Male_5000,344,21,01:40.6,16:45.8
Mackenzie Thompson,Male,19/09/2022,5000,Male_5000,324,17,01:42.6,17:06.1
Mackenzie Thompson,Male,19/09/2022,5000,Male_5000,324,17,01:42.6,17:06.1
Mackenzie Thompson,Male,29/08/2022,30minR20,Male_30minR20,281,22,01:47.6,01:47.6
Angus Ciesiolka,Female,15/03/2025,2000,Female_2000,434,101,01:33.1,06:12.3
Adam Holland,Male,12/03/2036,2000,Male_2000,499,82,01:28.8,05:55.4
Alec Hoskin,Male,16/03/2026,2000,Male_2000,466,39,01:30.9,06:03.6
Angus Ciesiolka,Male,12/03/2026,2000,Male_2000,452,28,01:31.8,06:07.3
Hamish Danks,Male,13/03/2026,2000,Male_2000,497,81,01:29.0,05:55.9
Hugh Harrold,Male,16/03/2026,2000,Male_2000,430,19,01:33.4,06:13.5
Jack Power,Male,14/03/2026,2000,Male_2000,480,51,01:30.0,06:00.0
Joshua Wilson,Male,14/03/2026,2000,Male_2000,413,13,01:34.6,06:18.5
Liesel Page,Female,16/03/2026,2000,Female_2000,263,12,01:50.0,07:20.0
Mackenzie Thompson,Male,14/03/2026,2000,Male_2000,498,81,01:28.9,05:55.6
Matias Moloney,Male,16/05/2026,2000,Male_2000,437,21,01:32.9,06:11.5
Miles Harrold,Male,9/03/2026,2000,Male_2000,455,30,01:31.6,06:06.5
Olivia Nattey,Female,16/03/2026,2000,Female_2000,284,22,01:47.2,07:08.9
Oscar Beregi,Male,14/03/2026,2000,Male_2000,493,78,01:29.2,05:56.8
Patrick Holt,Male,13/03/2026,2000,Male_2000,514,90,01:28.0,05:51.9
Tara Rigney,Female,16/03/2026,2000,Female_2000,315,77,01:43.6,06:54.3
Tiffany Botha,Female,16/03/2026,2000,Female_2000,295,33,01:45.9,07:03.5
Tomas Moloney,Male,9/03/2026,2000,Male_2000,441,23,01:32.6,06:10.3
Will Rogers,Male,12/03/2026,2000,Male_2000,489,76,01:29.5,05:57.8
